timestamp,BVP
1632843902.19797,-8.065369
1632843902.2136,-3.441071
1632843902.22923,1.591766
1632843902.24485,6.626282
1632843902.26048,11.18433
1632843902.2761,14.79605
1632843902.29173,17.04132
1632843902.30735,17.66202
1632843902.32298,16.59866
1632843902.33861,14.05029
1632843902.35423,10.43137
1632843902.36986,6.341003
1632843902.38548,2.515137
1632843902.40111,-0.2610168
1632843902.41673,-1.239532
1632843902.43236,0.1964722
1632843902.44799,4.306335
1632843902.46361,10.85254
1632843902.47924,19.1113
1632843902.49486,27.95581
1632843902.51049,36.229
1632843902.52611,43.05795
1632843902.54174,48.04016
1632843902.55737,51.26486
1632843902.57299,53.08243
1632843902.58862,53.88983
1632843902.60424,53.94827
1632843902.61987,53.36182
1632843902.63549,52.07651
1632843902.65112,49.99496
1632843902.66675,47.05045
1632843902.68237,43.19443
1632843902.698,38.42529
1632843902.71362,32.79742
1632843902.72925,26.35822
1632843902.74487,19.15869
1632843902.7605,11.22534
1632843902.77613,2.549286
1632843902.79175,-6.925629
1632843902.80738,-17.21756
1632843902.823,-28.32166
1632843902.83863,-40.19562
1632843902.85425,-52.73602
1632843902.86988,-65.76697
1632843902.88551,-79.00452
1632843902.90113,-92.02466
1632843902.91676,-104.3466
1632843902.93238,-115.614
1632843902.94801,-125.8145
1632843902.96363,-135.4307
1632843902.97926,-145.3668
1632843902.99489,-156.6355
1632843903.01051,-169.8729
1632843903.02614,-184.8182
1632843903.04176,-200.0267
1632843903.05739,-212.9258
1632843903.07301,-220.2565
1632843903.08864,-218.8348
1632843903.10427,-206.4106
1632843903.11989,-182.3635
1632843903.13552,-148.0148
1632843903.15114,-106.4397
1632843903.16677,-61.78986
1632843903.18239,-18.35669
1632843903.19802,20.24463
1632843903.21365,51.61548
1632843903.22927,74.65393
1632843903.2449,89.29944
1632843903.26052,96.20099
1632843903.27615,96.44165
1632843903.29177,91.42218
1632843903.3074,82.76392
1632843903.32303,72.20239
1632843903.33865,61.32794
1632843903.35428,51.33862
1632843903.3699,42.87866
1632843903.38553,36.01471
1632843903.40116,30.42096
1632843903.41678,25.60126
1632843903.43241,21.17426
1632843903.44803,17.01111
1632843903.46366,13.2912
1632843903.47928,10.39447
1632843903.49491,8.727356
1632843903.51054,8.460632
1632843903.52616,9.437866
1632843903.54179,11.19464
1632843903.55741,13.1637
1632843903.57304,14.96991
1632843903.58866,16.55396
1632843903.60429,18.11017
