timestamp,x,y,z
1632843906.0014,-29,-3,58
1632843906.03265,-29,-3,57
1632843906.0639,-29,-3,57
1632843906.09515,-29,-3,57
1632843906.1264,-29,-2,57
1632843906.15765,-28,-3,57
1632843906.18891,-29,-2,58
1632843906.22016,-28,-3,58
1632843906.25141,-28,-3,58
1632843906.28266,-29,-3,57
1632843906.31391,-29,-3,57
1632843906.34516,-29,-3,58
1632843906.37641,-29,-3,58
1632843906.40767,-29,-3,57
1632843906.43892,-28,-3,58
1632843906.47017,-29,-3,57
1632843906.50142,-28,-3,58
1632843906.53267,-29,-3,58
1632843906.56392,-29,-3,57
1632843906.59517,-28,-3,57
1632843906.62643,-28,-3,58
1632843906.65768,-29,-3,57
1632843906.68893,-29,-3,58
1632843906.72018,-28,-3,58
1632843906.75143,-29,-3,57
1632843906.78268,-29,-3,57
1632843906.81393,-29,-3,58
1632843906.84519,-29,-3,57
1632843906.87644,-29,-3,57
1632843906.90769,-29,-3,57
1632843906.93894,-29,-3,57
1632843906.97019,-28,-3,58
1632843907.00144,-29,-3,58
1632843907.03269,-29,-3,58
1632843907.06395,-29,-3,57
1632843907.0952,-29,-3,57
1632843907.12645,-29,-3,58
1632843907.1577,-29,-3,58
1632843907.18895,-29,-3,57
1632843907.2202,-29,-3,57
1632843907.25145,-29,-3,58
1632843907.28271,-28,-3,58
1632843907.31396,-29,-3,58
1632843907.34521,-29,-3,58
1632843907.37646,-29,-3,58
1632843907.40771,-29,-3,58
1632843907.43896,-29,-3,58
1632843907.47021,-29,-3,57
1632843907.50147,-29,-3,57
1632843907.53272,-29,-3,58
1632843907.56397,-29,-3,57
1632843907.59522,-28,-3,58
1632843907.62647,-29,-3,58
1632843907.65772,-29,-3,57
1632843907.68897,-29,-3,57
1632843907.72023,-29,-3,57
1632843907.75148,-29,-3,57
1632843907.78273,-29,-3,57
1632843907.81398,-29,-3,57
1632843907.84523,-29,-3,58
1632843907.87648,-29,-3,57
1632843907.90773,-29,-3,57
1632843907.93899,-29,-3,58
1632843907.97024,-29,-3,58
1632843908.00149,-28,-3,58
1632843908.03274,-28,-3,57
1632843908.06399,-29,-3,57
1632843908.09524,-28,-3,57
1632843908.12649,-28,-3,58
1632843908.15775,-29,-3,57
1632843908.189,-29,-3,58
1632843908.22025,-29,-3,58
1632843908.2515,-29,-3,57
1632843908.28275,-29,-3,57
1632843908.314,-29,-3,57
1632843908.34525,-30,-3,57
1632843908.37651,-29,-3,57
1632843908.40776,-29,-3,57
1632843908.43901,-28,-3,58
1632843908.47026,-29,-3,57
1632843908.50151,-28,-3,58
1632843908.53276,-29,-3,57
1632843908.56401,-28,-3,58
1632843908.59527,-29,-3,57
1632843908.62652,-29,-3,57
1632843908.65777,-29,-3,58
1632843908.68902,-28,-3,58
1632843908.72027,-27,-3,59
1632843908.75152,-31,-3,58
1632843908.78277,-28,-3,57
